picture_ex_011	空条承太郎·白金之星	SSR	picture	light	time-stop	true
picture_ex_012	吉良吉影·杀手皇后	SSR	picture	dark	bomb	true
picture_ex_013	迪亚哥·THE WORLD	SSR	picture	fire	time-stop	true
picture_ex_014	盖多·米斯达·性感手枪	SSR	picture	water	bullet	true
picture_ex_015	露西·钢铁蔷薇	SSR	picture	wind	rose	true
picture_ex_016	赫特·潘兹·奶油启动器	SSR	picture	earth	cream	true
picture_ex_017	迪亚哥·骇人恶兽	SSR	picture	light	beast	true
picture_ex_018	法尼·瓦伦泰·爱之列车	SSR	picture	dark	dimension	true
picture_ex_019	灶门炭治郎·火之神神乐	SR	picture	fire	sunfire	true
picture_ex_020	伊黑小芭内·蛇之呼吸	SR	picture	water	serpent	true
picture_ex_021	我妻善逸·霹雳一闪	SR	picture	light	thunder	true
picture_ex_022	甘露寺蜜璃·恋之呼吸	SR	picture	earth	love-whip	true
picture_ex_023	悲鸣屿行冥·岩之呼吸	SR	picture	earth	stone-chain	true
picture_ex_024	蝴蝶忍·蝶之舞	SR	picture	wind	poison-butterfly	true
picture_ex_025	富冈义勇·水之呼吸	SR	picture	water	water-dragon	true
picture_ex_026	不死川实弥·旋风斩	SR	picture	wind	wind-blade	true
picture_ex_027	灶门祢豆子·爆血	SR	picture	fire	blood-flame	true
picture_ex_028	时透无一郎·霞之呼吸	SR	picture	wind	mist	true
picture_ex_029	嘴平伊之助·兽之呼吸	SR	picture	light	beast	true
picture_ex_030	炼狱杏寿郎·炎之呼吸	SR	picture	fire	flame-tiger	true
picture_ex_031	不死川实弥·风之呼吸	SR	picture	wind	wind-blade	true
picture_ex_032	宇髓天元·音之呼吸	SR	picture	water	sound-bomb	true
picture_ex_033	富冈义勇·水柱	SR	picture	water	water-dragon	true
picture_ex_034	伊黑小芭内·蛇柱	SR	picture	earth	serpent	true
picture_ex_035	炼狱杏寿郎·炎柱	SR	picture	fire	flame-tiger	true
picture_ex_036	时透无一郎·月下霞	SR	picture	wind	mist	true
picture_ex_037	蝴蝶忍·紫藤毒	SR	picture	wind	poison-butterfly	true
picture_ex_038	甘露寺蜜璃·恋柱	SR	picture	water	love-whip	true
picture_ex_039	宇髓天元·谱面完成	SR	picture	wind	sound-bomb	true
picture_ex_040	不死川实弥·稀血	SR	picture	wind	wind-blade	true
picture_ex_041	悲鸣屿行冥·南无阿弥陀佛	SR	picture	earth	stone-chain	true
picture_ex_042	猗窝座·破坏杀	SR	picture	dark	compass	true
picture_ex_043	富冈义勇·水面斩	SR	picture	water	water-dragon	true
picture_ex_044	继国缘一·日之呼吸	SR	picture	fire	sunfire	true
picture_ex_045	甘露寺蜜璃·猫足恋风	SR	picture	wind	love-whip	true
picture_ex_046	蝴蝶忍·蜈蚣之舞	SR	picture	wind	poison-butterfly	true
picture_ex_047	宇髓天元·双刀爆裂	SR	picture	light	sound-bomb	true
picture_ex_048	我妻善逸·火雷神	SR	picture	light	thunder	true
picture_ex_049	时透无一郎·胧	SR	picture	wind	mist	true
picture_ex_050	炼狱杏寿郎·奥义玖之型	SR	picture	fire	flame-tiger	true
picture_ex_051	嘴平伊之助·空间感知	SR	picture	wind	beast	true
picture_ex_052	悲鸣屿行冥·岩躯	SR	picture	earth	stone-chain	true
picture_ex_053	伊黑小芭内·月夜蛇行	SR	picture	light	serpent	true
picture_ex_054	炼狱杏寿郎·炎心	SR	picture	fire	flame-tiger	true
picture_ex_055	童磨·寒夜莲华	SR	picture	dark	ice-lotus	true
picture_ex_056	猗窝座·罗针	SR	picture	dark	compass	true
picture_ex_057	蝴蝶忍·蝶影毒刃	SR	picture	wind	poison-butterfly	true
picture_ex_058	不死川实弥·黑风烟岚	SR	picture	wind	wind-blade	true
picture_ex_059	嘴平伊之助·兽牙乱舞	SR	picture	light	beast	true
picture_ex_060	灶门炭治郎·水火轮转	SR	picture	fire	sunfire	true
picture_ex_061	悲鸣屿行冥·石肤	SR	picture	earth	stone-chain	true
picture_ex_062	富冈义勇·生生流转	SR	picture	water	water-dragon	true
picture_ex_063	炼狱杏寿郎·炼狱	SR	picture	fire	flame-tiger	true
picture_ex_064	甘露寺蜜璃·摇曳恋情	SR	picture	earth	love-whip	true
picture_ex_065	鬼舞辻无惨·赤月	SR	picture	dark	blood-moon	true
picture_ex_066	时透无一郎·水月霞	SR	picture	wind	mist	true
picture_ex_067	宇髓天元·爆音斩	SR	picture	fire	sound-bomb	true
picture_ex_068	黑死牟·月虹	SR	picture	dark	moon-blade	true
picture_ex_069	伊黑小芭内·蜿蜒蛇行	SR	picture	wind	serpent	true
picture_ex_070	我妻善逸·雷霆万钧	SR	picture	light	thunder	true
picture_ex_072	菜月昴·死亡回归	SR	picture	earth	sunfire	true
picture_ex_073	白眼·回天	SR	picture	light	wind-blade	true
picture_ex_074	我爱罗·砂瀑守护	SR	picture	wind	earth	true
picture_ex_075	佩恩·神罗天征	SR	picture	water	domain	true
picture_ex_076	二代火影·水遁	SR	picture	dark	water-dragon	true
picture_ex_077	宇智波佐助·须佐能乎	SR	picture	fire	hollow-purple	true
picture_ex_078	旗木卡卡西·雷切	SR	picture	earth	thunder	true
picture_ex_079	千手纲手·怪力	SR	picture	light	stone-chain	true
picture_ex_080	朝比奈真冬·雨夜狙击	SR	picture	wind	wind	false
picture_ex_081	鸣人·九喇嘛连结	SR	picture	water	sunfire	true
picture_ex_082	花里实乃理·橙梦舞台	SSR	picture	dark	dark	false
picture_ex_083	草薙宁宁·海月幻梦	SSR	picture	fire	flame	false
picture_ex_084	日野森雫·青瓷流云	SSR	picture	earth	earth	false
picture_ex_085	朝比奈真冬·静默旋律	SSR	picture	light	dark-song	true
picture_ex_086	宵崎奏·雪原白夜	SSR	picture	wind	digital-song	true
picture_ex_087	东云绘名·迷途画境	SSR	picture	water	rose	true
picture_ex_088	日野森雫·蓝蔷薇	SSR	picture	dark	dark	false
picture_ex_089	晓山瑞希·粉黛之心	SSR	picture	fire	dimension	true
picture_ex_090	津岛善子·堕天使夜羽	SSR	picture	earth	dark	true
picture_ex_091	椎名真昼·水墨午后	SSR	picture	light	light	false
picture_ex_092	喜多郁代·金叶跃动	SSR	picture	wind	bass-wave	true
picture_ex_093	后藤一里·绯线独奏	SSR	picture	water	bass-wave	true
picture_ex_094	喜多郁代·碧空旋律	SSR	picture	dark	bass-wave	true
picture_ex_095	喜多川海梦·海风浅笑	SSR	picture	fire	flame	false
picture_ex_096	有马加奈·坠空追风	SSR	picture	earth	earth	false
picture_ex_097	椎名真昼·素描沉思	SSR	picture	light	light	false
picture_ex_098	高松灯·深海蓝影	SSR	picture	wind	bass-wave	true
picture_ex_099	奥泽美咲·暖窗时光	SSR	picture	water	water	false
picture_ex_100	晓山瑞希·缤纷节拍	SSR	picture	dark	dimension	true
picture_ex_101	初音未来·深海回响	SSR	picture	fire	digital-song	true
picture_ex_102	暗影·原子裁决	SSR	picture	earth	domain-slash	true
picture_ex_103	暗影·终焉权能	SSR	picture	light	domain-slash	true
picture_ex_104	黑化阿尔托莉雅·暗夜血刃	UR	picture	wind	wind	false
picture_ex_105	黑化阿尔托莉雅·绯狱复仇	UR	picture	water	water	false
picture_ex_106	阿尔托莉雅·黄昏断罪	UR	picture	dark	dark	false
picture_ex_107	初音未来·苍穹音浪	UR	picture	fire	digital-song	true
water_007	蓝絮猫女仆 凯伊	R	nightcord	water	water	false
water_008	里间雨	R	nightcord	water	water	false
water_009	宫崎奏	R	nightcord	water	water	false
water_010	山田凉	SSR	nightcord	water	bass-wave	true
water_011	青蓝妆者	SSR	nightcord	water	water	false
dark_006	朝比奈真冬	UR	nightcord	dark	dark-song	true
source_monster_001	真冬	R	source_archive	water	dark-song	true
source_monster_002	白羽静梦	R	source_archive	wind	wind	false
source_monster_003	祥子	R	source_archive	light	light	false
source_monster_004	蕾塞·雨夜引魂	SSR	source_archive	dark	dark	false
source_monster_005	绯线誓约·青叶	SSR	source_archive	fire	flame	false
source_monster_006	绯线誓约·棕羽	SSR	source_archive	earth	earth	false
source_monster_007	绯线誓约·金瞳	SSR	source_archive	water	water	false
source_monster_008	两面宿傩·狱纹	SSR	source_archive	wind	domain-slash	true
source_monster_009	五条悟·苍瞳	SSR	source_archive	light	hollow-purple	true
source_monster_010	五条悟·无下限	SSR	source_archive	dark	infinity	true
source_monster_011	五条悟·苍天觉醒	SSR	source_archive	fire	hollow-purple	true
source_monster_012	两面宿傩·伏魔御厨子	SSR	source_archive	earth	domain-slash	true
source_monster_013	五条悟·虚式茈	SSR	source_archive	water	hollow-purple	true
source_monster_014	宿傩·炎矢	SSR	source_archive	wind	flame-arrow	true
source_monster_015	五条悟·无量空处	SSR	source_archive	light	domain	true
source_monster_016	五条悟·天上天下	SSR	source_archive	dark	hollow-purple	true
source_monster_017	咒灵武者·赤影	SSR	source_archive	fire	flame	false
source_monster_018	白绫神姬·天仪	UR	source_archive	earth	earth	false
source_monster_019	黄昏孤影·终焉	UR	source_archive	water	domain-slash	true
source_monster_020	虚拟歌姬·初音未来	UR	source_archive	wind	digital-song	true
